15:12:42.094106 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31327684:31327856, ack 17461, win 313, length 172
15:12:42.094163 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31327856:31328028, ack 17461, win 313, length 172
15:12:42.094220 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31328028:31328200, ack 17461, win 313, length 172
15:12:42.094275 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31328200:31328372, ack 17461, win 313, length 172
15:12:42.094324 IP 198.96.85.21.63664 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 31315404, win 4123, length 0
15:12:42.094382 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31328372:31328664, ack 17461, win 313, length 292
15:12:42.094441 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31328664:31328836, ack 17461, win 313, length 172
15:12:42.094497 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31328836:31329008, ack 17461, win 313, length 172
15:12:42.094552 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31329008:31329180, ack 17461, win 313, length 172
15:12:42.094606 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31329180:31329352, ack 17461, win 313, length 172
15:12:42.094661 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31329352:31329524, ack 17461, win 313, length 172
15:12:42.094715 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31329524:31329696, ack 17461, win 313, length 172
15:12:42.094776 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31329696:31329868, ack 17461, win 313, length 172
15:12:42.094830 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31329868:31330040, ack 17461, win 313, length 172
15:12:42.094884 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31330040:31330212, ack 17461, win 313, length 172
15:12:42.094938 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31330212:31330384, ack 17461, win 313, length 172
15:12:42.094993 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31330384:31330556, ack 17461, win 313, length 172
15:12:42.095047 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31330556:31330728, ack 17461, win 313, length 172
15:12:42.095100 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31330728:31330900, ack 17461, win 313, length 172
15:12:42.095155 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31330900:31331072, ack 17461, win 313, length 172
15:12:42.095209 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31331072:31331244, ack 17461, win 313, length 172
15:12:42.095263 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31331244:31331416, ack 17461, win 313, length 172
15:12:42.095318 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31331416:31331588, ack 17461, win 313, length 172
15:12:42.095373 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31331588:31331760, ack 17461, win 313, length 172
15:12:42.095427 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31331760:31331932, ack 17461, win 313, length 172
15:12:42.095482 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31331932:31332104, ack 17461, win 313, length 172
15:12:42.095537 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31332104:31332276, ack 17461, win 313, length 172
15:12:42.095592 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31332276:31332448, ack 17461, win 313, length 172
15:12:42.095663 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31332448:31332620, ack 17461, win 313, length 172
15:12:42.095720 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.63664: Flags [P.], seq 31332620:31332792, ack 17461, win 313, length 172
